engine_id,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
34,-3.3031402,-10.152061,-13.019456,-4.2484426,-3.378838,-0.07312518,-10.956007,-7.123467,-8.010265,-0.7306527,-5.557379,-6.5622625,-2.270742,-2.1449857
35,-1.8150363,-9.958994,-10.651898,-2.5616508,-2.1169672,-6.8689213,-5.6260896,-4.402389,-2.6636686,-5.842054,-7.2253757,-7.244478,-2.0536168,-2.5634794
36,-3.3271728,-11.046833,-13.218329,-4.1898875,-3.3104208,-0.08005303,-11.077442,-7.162501,-6.8396397,2.0577621,-4.4201975,-6.136944,-2.2561214,0.07812205
37,-2.4019694,2.105764,-3.0184517,-4.42766,-4.0015445,-0.23280063,-12.728918,-9.188383,-7.393043,-1.5525677,-4.796635,-8.759163,-4.3011365,-1.5342133
38,-2.1106875,1.9868655,1.6961775,0.72635764,1.5975974,-10.427284,-5.69352,5.4008036,2.51907,-13.841586,-2.6387095,-5.7188635,0.9607668,-2.0931468
39,2.7071722,2.8369203,6.1226964,1.3000467,1.9332356,3.2838626,4.397068,2.6447737,1.0919311,0.9846499,2.3203347,6.0119286,1.6197045,0.9775311
40,-2.9073558,-9.77101,-12.461167,-2.3058565,-2.6124568,-3.6312675,-6.8414907,4.5971794,-5.9467754,-1.1898625,-1.6908063,-7.8816013,-2.72159,-2.3410194
41,0.33440706,1.384771,-6.524429,-5.0954156,-4.4395237,2.8441875,-9.490198,-10.219891,-8.466167,-1.4796278,-6.0716467,-1.9535369,-1.7951411,-1.8353863
42,-2.6260204,-8.944249,-11.980606,-4.9699874,-3.3640223,2.0582373,-9.846264,-7.0139,-8.109064,-1.2074413,-4.1872787,-6.5735297,-2.440381,-1.8232715
43,-2.2525165,0.18909901,-5.270526,-1.2519529,3.0728936,1.4712592,-7.336511,-0.86545134,-0.18765411,2.654237,-3.0785103,-6.060325,-1.3337247,0.9173452
44,0.31673765,3.3017058,-5.599851,1.7708955,1.3156211,2.90475,6.592062,6.340478,4.8016863,3.9342108,1.391262,-0.65320903,-1.1267245,-0.5441128
45,0.5291396,-9.932762,-2.4478757,0.24266207,2.9278355,2.012374,6.1333036,-0.32628798,0.5736351,-1.814729,-4.5263424,-2.4648643,-5.4663258,-1.3391215
46,-2.8350158,-8.452125,4.7438865,-3.1216555,-3.3041315,-8.986831,-7.654233,3.355629,-1.6974235,0.91698813,-2.7764423,-6.2902155,-3.191918,-2.0342226
47,2.0915902,0.3456769,6.347442,3.642974,1.905445,4.8470507,3.2463164,2.5749316,-3.8467584,5.351898,-2.9431434,3.012928,-2.6155517,2.9596784
48,-0.2152456,1.7497613,8.664707,7.7095647,1.4525349,3.4885776,-10.39432,5.0115952,-4.2918024,2.1513937,-0.25977337,0.4069833,0.9579944,-1.6945415
49,-2.368095,-10.212885,-12.914385,-4.264105,-3.32382,-0.0401392,-10.024456,-7.1041083,-7.63486,-0.770864,-5.814849,-6.531449,-2.123473,-2.1079497
50,0.09024364,0.80806077,6.204384,3.6238768,1.882278,4.6990333,-4.7842646,2.9741535,0.78139913,-0.53462017,-3.4444609,2.8544924,1.7296302,-1.7750419
51,0.8364551,2.441022,7.5779686,-4.8314714,1.2025762,-0.3844851,3.790222,2.920048,4.995119,4.0318136,-4.042574,0.93490434,0.3652041,0.11529437
52,-0.6765091,-4.1437,-2.961568,-2.1826982,-4.0467815,-17.128613,-5.3265038,-2.879202,-0.17095797,-10.67733,-4.7897763,-7.2666616,-2.3306305,-1.3567005
53,-0.646864,-8.40179,-8.585931,-2.414395,-0.5622224,-11.339975,-4.9811687,-4.8707256,-1.2073301,-6.7217655,-3.7567606,-6.365663,-3.1353788,-1.1475167
54,-0.55571973,2.6114533,2.6766498,0.5540953,1.5583341,-0.28371412,-1.041449,4.002184,3.1178813,1.0122876,-2.2566905,7.797557,5.4678626,2.0485945
55,-0.209561,3.306627,6.3720427,-1.0283513,-3.174289,0.33733737,7.9846973,5.2494545,2.3903835,3.7045243,1.570884,0.13763937,3.5381534,1.3019347
56,-4.1481333,-9.877539,-13.092462,2.4723148,-3.5168657,0.28381878,-9.87437,-6.7275558,-4.371393,0.56586194,-5.336689,-6.76845,-2.7904835,-1.9137068
57,2.4940119,2.4948225,-2.5026999,0.2970231,3.2001684,1.811165,8.970826,3.8760033,1.379802,2.1220744,-3.2365618,-5.414621,-0.7452011,-1.0075134
58,0.5588365,-9.450229,-12.208103,-4.160374,-3.322824,0.9756243,-10.428968,-0.5318029,-6.807288,1.4907482,-3.1279037,-6.139099,-1.1945221,-1.1412446
59,-0.20120975,3.5236905,5.0683165,-1.4515041,2.6083982,4.210919,0.40590036,-1.9553835,-1.2874093,2.2159414,1.3247256,6.4028864,2.0065014,3.0877142
60,0.4585827,1.4046278,4.41037,2.4684217,-1.2798398,1.9627349,4.917933,1.1914924,2.9503775,2.1719828,4.135859,-1.2910727,-1.1775471,2.4177732
61,-0.78123933,-9.163933,-9.61165,-4.74049,-2.7548075,1.5797844,-11.258614,-7.5813594,-5.2612185,0.5570665,-4.0871224,-6.980675,-2.495537,-1.3091223
62,0.2299084,-0.3344153,-1.5812161,0.385865,-2.9833665,-14.041908,2.337833,-5.3044252,-2.7781503,-10.821953,-2.2590303,-2.1012354,-3.2431283,-2.3609471
63,1.488701,1.9708345,3.1188512,-3.1946921,-2.4224248,1.449699,2.9638143,5.202277,-7.4548244,2.18804,-3.2776883,-2.1384592,-0.47779107,-1.7756461
64,-1.6587325,-8.807999,-10.267706,-5.0365524,-3.415353,2.8422399,-8.421034,-7.4438963,-7.145926,1.5582019,-3.6410122,-2.6319995,-2.2811308,-1.8467897
65,2.7081447,3.343383,4.447563,2.530899,2.0877838,1.2703576,4.7684793,1.1067595,-3.123599,1.8963672,-2.7267494,4.410962,6.8021984,0.6690177
66,-3.9281652,-9.964338,-9.674067,-2.4364343,1.804725,-12.656062,-5.814163,1.1350805,0.79602724,-9.907549,-1.0582442,-6.678981,-3.006198,-1.1739099
67,2.2107124,3.3407302,4.672677,2.9972079,-4.3122168,4.647268,4.9122972,1.0366073,-1.1464236,-1.7649257,3.8841724,2.3175712,-0.1300967,0.51259667
68,-3.149322,-10.374646,-11.448227,-3.200047,-2.7013664,-6.572914,-7.568309,-4.900439,-5.487793,-4.860399,-5.1443787,-6.594466,-2.2662675,-1.942184
69,3.176845,3.0751653,8.099651,1.6777455,-0.9166385,3.55514,4.2431107,2.8017652,-3.238927,3.4007015,2.8597054,3.3984952,1.7639863,-2.2759242
70,-0.35143286,0.4509235,7.9239964,5.2092757,2.5988588,2.0886965,-9.035387,4.686613,0.8572765,2.718894,-3.061195,-1.9284017,-1.3095863,-0.48351938
71,0.5028143,2.319609,4.032861,1.0514879,1.7763429,0.4378947,4.5583215,3.4681563,-1.4377618,2.0094671,1.7911357,2.779292,0.2751653,2.567811
72,-0.26019824,2.1532655,-1.7008445,-2.918069,-1.9612693,0.5748514,-11.860762,-1.501606,-3.9630969,0.55380785,2.705131,-1.5311184,-1.1293118,2.6971853
73,-0.3437468,6.1659207,5.5005145,5.6464415,2.787693,1.6271688,4.8498287,1.1625911,-2.5534897,2.8859916,1.2122393,1.6961324,0.91165847,-1.0053627
74,0.5288722,1.3638487,6.139609,-0.024415016,-0.0745703,-0.15729535,4.37482,3.527264,-1.976747,-1.8940717,2.8606253,0.052832693,-1.396781,-1.1515379
75,4.190879,1.1388981,1.0365036,-1.4076344,1.480121,3.9622445,3.0791779,1.8288506,3.687379,0.24015164,1.1818476,0.09664482,0.14153638,2.345168
76,-3.3211079,-11.200859,-11.524741,-2.8105702,-1.7671621,-8.863401,-8.040941,-4.603872,-2.32709,-6.142704,-4.807885,-6.7171035,-3.243771,-2.2516963
77,0.49500567,1.8380976,-11.822367,-4.7684603,-2.9350288,-0.13244563,-11.963404,-7.721708,-7.721512,0.5506014,1.1412902,-8.833735,-2.4582884,-2.2812927
78,0.28922367,3.7194953,4.955803,3.9596958,2.0449514,-8.391289,3.6271527,2.255951,2.1942344,-9.412963,0.93739736,6.8675265,5.4660487,1.3448989
79,0.59626347,2.433937,2.411266,2.453098,1.4668174,1.1555821,-9.721722,-1.9837857,-0.29332337,-1.064906,0.012198687,-0.024847746,-1.6684204,-0.25251555
80,1.820297,0.93589514,8.609749,-5.4565325,1.1123128,0.34306404,2.5225866,2.5076935,1.2109925,-0.18390661,-3.4939282,2.0304363,-1.1857016,-0.9645468
81,-2.497673,-11.741055,-13.486408,-4.065338,-3.0924048,0.566406,-10.654093,-7.244076,-6.2041454,-0.19246674,-6.526232,-6.629382,-3.5684505,-2.0852501
82,-1.6794653,-8.778963,-12.436644,-4.462582,-3.377408,0.59153455,-10.587584,-7.4070215,-8.094641,-0.9966171,-5.9218483,-6.187175,-2.0753784,-2.2241611
83,0.2687069,2.6932702,4.9627037,3.4444993,2.6991825,1.5878301,5.887189,3.3469782,4.990734,3.3215826,3.2141447,1.354324,0.070694074,2.2078316
84,1.1833643,3.754064,0.20384932,-4.2121515,-1.7423166,1.3645387,2.5827904,1.2803721,-3.0850375,-0.41286805,-2.8322754,-3.4516401,-2.6659667,-1.7864698
85,1.377967,3.0380275,4.8575134,3.4498982,3.9215136,6.247351,1.455653,4.4745636,4.2549505,4.2731247,4.050473,5.394155,4.835057,-0.6046925
86,-0.04976958,4.621997,7.6995506,-0.8769697,1.3370937,-7.2001476,6.7579856,2.0484233,0.096559584,4.7319355,1.8531022,1.6249485,0.22905627,0.88214636
87,-0.38265592,3.9408102,6.556762,1.3521564,1.7089167,0.010743976,4.242423,2.0210586,-2.3706064,1.0921184,-1.6473452,2.3189888,2.2011528,0.8980257
88,-0.10054506,0.73541,3.6216533,2.7121186,2.5736065,8.11364,4.827359,2.046906,0.6624297,6.558369,4.5313683,-0.18897253,2.2401505,3.165892
89,0.2973441,0.38996232,4.948263,-0.99809366,2.2059608,2.2467394,6.4486046,1.4483935,4.289129,4.4165134,2.484809,-1.1851116,-0.20073605,1.4596195
90,-1.5535293,-8.527627,-10.586292,1.7959149,-1.506589,-10.768863,-7.0118365,0.77237034,0.6686594,-8.152136,-0.630527,-5.7228184,-2.1301265,-2.1842234
91,-2.0448802,-10.453878,-9.562978,-0.62122893,1.5955077,2.6637657,-1.2608542,-6.1507707,-8.357609,1.5090327,-4.6327066,-4.5090175,-2.5893402,-3.054911
92,-0.10350549,-8.451543,-4.5497794,-4.5945525,-1.8867705,0.69029325,-9.63789,-7.522683,-7.664862,1.5476674,-4.029034,-6.966921,-2.6317275,-2.8632689
93,-1.5081309,-8.451577,-10.821627,-2.4284544,1.1051183,-5.3543406,0.69880843,-1.4376903,-2.6207902,-6.721615,0.830161,-2.0411665,1.7499747,1.7977539
94,-2.4176874,-0.32929498,-6.1727066,-4.2069407,-1.7289627,4.880978,0.7278464,7.8660235,3.8532248,2.4508889,0.7175636,-2.1270046,-5.379346,-0.69813013
95,1.0759264,1.027493,4.7394457,-1.6280876,1.847751,1.941738,-3.3390956,3.13087,3.6559732,2.4093235,3.9713404,0.81617194,3.1894984,-0.9342445
96,-0.81180084,1.3648174,1.9473071,-1.1378466,-1.0270371,0.7880531,-0.9839963,3.7245495,-0.80705917,1.7153254,2.5043015,9.123871,4.898944,2.140241
97,2.55504,2.5100696,6.2936926,2.8394299,-1.8979158,-6.732876,3.9193053,2.9419727,-3.6848893,0.07668877,-1.9477823,-1.2199998,-1.4834472,0.9118612
98,-0.123086214,-2.264681,-5.8444414,3.3474455,3.3239195,1.4460853,-6.7986,-7.165701,0.5050392,-0.5439297,-5.9285936,-1.2959555,-2.5651622,2.5334861
99,0.085097805,6.1609564,4.2116995,2.8777854,2.7236104,0.30866086,5.4650164,-4.458753,0.2195983,-1.0057867,4.4270496,8.492389,1.6786718,1.4896059
100,-0.7115668,-8.009042,-8.545857,-3.4836762,-0.61799526,-11.112413,1.2705777,-4.16962,-1.8721979,-7.527395,-3.204834,-5.1174545,-4.6343317,-0.91583115
